# BLE fragments with sequence counter and ASCII payload
# Format: source_file | timestamp_ms | seq | total_bytes | payload_after_seq_byte
# Total: 41836 fragments (showing first 5000)

pt30_raw_ble_fragments_active.jsonl | ts=1777060959091 | seq= 36 | len=17 | ',0.9,12037,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060959094 | seq= 37 | len=20 | 'Buffer: 0,30591,305'
pt30_raw_ble_fragments_active.jsonl | ts=1777060959097 | seq= 38 | len=7 | '92,0\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060960089 | seq= 39 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060960094 | seq= 40 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060960099 | seq= 41 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060960102 | seq= 42 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060960105 | seq= 43 | len=20 | '0:02:39,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060960108 | seq= 44 | len=20 | '85.012405,0,180,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060960112 | seq= 45 | len=19 | '45,0.9,12038,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060961184 | seq= 46 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060961188 | seq= 47 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060961194 | seq= 48 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060961197 | seq= 49 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060961200 | seq= 50 | len=20 | '0:02:40,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060961204 | seq= 51 | len=20 | '85.012405,0,180,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060961208 | seq= 52 | len=19 | '45,0.9,12039,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962186 | seq= 53 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962189 | seq= 54 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962219 | seq= 55 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962223 | seq= 56 | len=20 | '00,12.86,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962227 | seq= 57 | len=20 | '0:02:41,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962230 | seq= 58 | len=20 | '85.012405,0,180,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962233 | seq= 59 | len=19 | '45,0.9,12040,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962876 | seq= 60 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962880 | seq= 61 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962885 | seq= 62 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962892 | seq= 63 | len=20 | '00,12.86,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962899 | seq= 64 | len=20 | '0:02:42,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962902 | seq= 65 | len=20 | '85.012405,0,180,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060962906 | seq= 66 | len=19 | '45,0.9,12041,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060963855 | seq= 67 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060963859 | seq= 68 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060963863 | seq= 69 | len=11 | '85,0.000,9'
pt30_raw_ble_fragments_active.jsonl | ts=1777060963867 | seq= 70 | len=20 | '023.45,0.00,12.86,0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060963870 | seq= 71 | len=20 | '4/24/26,20:02:43,35'
pt30_raw_ble_fragments_active.jsonl | ts=1777060963873 | seq= 72 | len=20 | '.986625,-85.012405,'
pt30_raw_ble_fragments_active.jsonl | ts=1777060963876 | seq= 73 | len=20 | '0,180,9,545,0.9,120'
pt30_raw_ble_fragments_active.jsonl | ts=1777060963879 | seq= 74 | len=9 | '42,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060964900 | seq= 75 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060964905 | seq= 76 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060964918 | seq= 77 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060964922 | seq= 78 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060964928 | seq= 79 | len=20 | '0:02:44,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060964931 | seq= 80 | len=20 | '85.012405,0,180,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060964935 | seq= 81 | len=19 | '45,0.9,12043,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060965877 | seq= 82 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060965881 | seq= 83 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060965885 | seq= 84 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060965889 | seq= 85 | len=20 | '00,12.86,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060965893 | seq= 86 | len=20 | '0:02:45,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060965897 | seq= 87 | len=20 | '85.012405,0,180,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060965900 | seq= 88 | len=19 | '45,0.9,12044,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060967168 | seq= 89 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060967172 | seq= 90 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060967179 | seq= 91 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060967182 | seq= 92 | len=20 | '00,12.86,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060967185 | seq= 93 | len=20 | '0:02:46,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060967188 | seq= 94 | len=20 | '85.012405,0,180,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060967193 | seq= 95 | len=19 | '45,0.9,12045,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060968175 | seq= 96 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060968178 | seq= 97 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060968183 | seq= 98 | len=20 | '85,0.000,9023.45,0.'
